,datetime,price
781,2022-01-11-12:20,131.175
782,2022-01-11-12:15,130.935
783,2022-01-11-12:10,130.7501
784,2022-01-11-12:05,130.5
785,2022-01-11-12:00,130.3301
786,2022-01-11-11:55,130.48
787,2022-01-11-11:50,130.6425
788,2022-01-11-11:45,131.0
789,2022-01-11-11:40,130.94
790,2022-01-11-11:35,130.775
791,2022-01-11-11:30,130.61
792,2022-01-11-11:25,130.525
793,2022-01-11-11:20,130.71
794,2022-01-11-11:15,130.39
795,2022-01-11-11:10,130.21
796,2022-01-11-11:05,130.0901
797,2022-01-11-11:00,130.11
798,2022-01-11-10:55,129.78
799,2022-01-11-10:50,129.65
800,2022-01-11-10:45,129.36
801,2022-01-11-10:40,129.9505
802,2022-01-11-10:35,129.66
803,2022-01-11-10:30,129.5
804,2022-01-11-10:25,129.16
805,2022-01-11-10:20,129.54
806,2022-01-11-10:15,129.625
807,2022-01-11-10:10,129.54
808,2022-01-11-10:05,129.7
809,2022-01-11-10:00,129.55
810,2022-01-11-09:55,129.41
811,2022-01-11-09:50,129.22
812,2022-01-11-09:45,128.89
813,2022-01-11-09:40,128.33
814,2022-01-11-09:35,129.825
815,2022-01-11-09:30,130.31
816,2022-01-11-09:25,130.45
