datetime,price,S_avg,S_std,signal,pnl
2022-01-19 12:50:00,168.9689,169.8678734042553,0.6624379499023543,-1.0,-0.00889999999998281
2022-01-19 12:55:00,168.658,169.861985106383,0.6682517192734237,-1.0,0.31090000000000373
2022-01-19 13:00:00,169.08,169.85836808510638,0.670642710125575,-1.0,-0.42200000000002547
2022-01-19 13:05:00,169.1,169.85501063829787,0.6728590875146608,-1.0,-0.01999999999998181
2022-01-19 13:10:00,169.0,169.8506755319149,0.675737537202384,-1.0,0.09999999999999432
2022-01-19 13:15:00,169.23,169.84620744680853,0.6770553958394353,-1.0,-0.22999999999998977
2022-01-19 13:20:00,169.22,169.8416329787234,0.6783713291333502,-1.0,0.009999999999990905
2022-01-19 13:25:00,169.185,169.83841489361703,0.6800505109359093,-1.0,0.03499999999999659
2022-01-19 13:30:00,168.8103,169.83338989361704,0.6841480962467037,-1.0,0.37469999999999004
2022-01-19 13:35:00,168.87,169.82785797872342,0.6877206375293194,-1.0,-0.059699999999992315
2022-01-19 13:40:00,168.7,169.81998617021276,0.6921250691592225,-1.0,0.17000000000001592
2022-01-19 13:45:00,168.6511,169.81169414893617,0.6967502774381298,-1.0,0.04889999999997485
2022-01-19 13:50:00,168.53,169.80344946808512,0.7027036028243494,-1.0,0.12110000000001264
2022-01-19 13:55:00,168.6199,169.79562978723405,0.7076599704381544,-1.0,-0.08990000000000009
2022-01-19 14:00:00,168.45,169.78555,0.713266805538084,-1.0,0.1699000000000126
2022-01-19 14:05:00,168.43,169.77533723404255,0.7188652179657998,-1.0,0.01999999999998181
2022-01-19 14:10:00,168.13,169.76411382978722,0.7279853102916174,-1.0,0.30000000000001137
2022-01-19 14:15:00,167.995,169.75270425531917,0.7387914985100488,-1.0,0.1349999999999909
2022-01-19 14:20:00,168.0638,169.73963936170213,0.7468241962114048,-1.0,-0.06879999999998176
2022-01-19 14:25:00,168.094,169.72865,0.7557526081724916,-1.0,-0.030200000000007776
2022-01-19 14:30:00,167.65,169.71529893617023,0.7701257162454458,-1.0,0.4439999999999884
2022-01-19 14:35:00,167.76,169.7016819148936,0.7819185841152022,-1.0,-0.10999999999998522
2022-01-19 14:40:00,167.6955,169.68732287234042,0.7938146289211411,-1.0,0.06449999999998113
2022-01-19 14:45:00,167.98,169.6751420212766,0.8023496110040973,-1.0,-0.28449999999998
2022-01-19 14:50:00,167.76,169.66046117021276,0.812000568960633,-1.0,0.21999999999999886
2022-01-19 14:55:00,168.05,169.64657819148937,0.8171156180525196,-1.0,-0.29000000000002046
2022-01-19 15:00:00,167.95,169.63264202127658,0.8235988928151587,-1.0,0.10000000000002274
2022-01-19 15:05:00,167.79,169.61787287234043,0.8316177603405498,-1.0,0.1599999999999966
2022-01-19 15:10:00,167.86,169.60356436170213,0.8386063710834317,-1.0,-0.0700000000000216
2022-01-19 15:15:00,168.1599,169.59133031914894,0.8428131481288917,-1.0,-0.2998999999999796
2022-01-19 15:20:00,167.85,169.5797345744681,0.8516953208751176,-1.0,0.30989999999999895
2022-01-19 15:25:00,167.73,169.5664829787234,0.8609902210701745,-1.0,0.12000000000000455
2022-01-19 15:30:00,167.51,169.55142978723404,0.8720621304254125,-1.0,0.21999999999999886
2022-01-19 15:35:00,167.35,169.5360574468085,0.8852318023253731,-1.0,0.1599999999999966
