,datetime,price
756,2022-01-18-04:20,169.9
757,2022-01-18-04:15,170.03
758,2022-01-18-04:10,170.16
759,2022-01-18-04:05,170.5
760,2022-01-14-20:00,173.3
761,2022-01-14-19:55,173.2
762,2022-01-14-19:50,173.15
763,2022-01-14-19:45,173.13
764,2022-01-14-19:40,173.12
765,2022-01-14-19:35,173.12
766,2022-01-14-19:30,173.08
767,2022-01-14-19:25,173.18
768,2022-01-14-19:20,173.25
769,2022-01-14-19:15,173.23
770,2022-01-14-19:10,173.25
771,2022-01-14-19:05,173.26
772,2022-01-14-19:00,173.2
773,2022-01-14-18:55,173.2
774,2022-01-14-18:50,173.24
775,2022-01-14-18:45,173.19
776,2022-01-14-18:40,173.19
777,2022-01-14-18:35,173.15
778,2022-01-14-18:30,173.12
779,2022-01-14-18:25,173.1
780,2022-01-14-18:20,173.14
781,2022-01-14-18:10,173.2
782,2022-01-14-18:05,173.2
783,2022-01-14-18:00,173.19
784,2022-01-14-17:55,173.2
785,2022-01-14-17:50,173.16
786,2022-01-14-17:45,173.19
787,2022-01-14-17:40,173.18
788,2022-01-14-17:35,173.13
789,2022-01-14-17:30,173.13
790,2022-01-14-17:25,173.21
791,2022-01-14-17:20,173.25
792,2022-01-14-17:15,173.25
793,2022-01-14-17:10,173.23
794,2022-01-14-17:05,173.31
795,2022-01-14-17:00,173.33
796,2022-01-14-16:55,173.25
797,2022-01-14-16:50,173.25
798,2022-01-14-16:45,173.21
799,2022-01-14-16:40,173.2
800,2022-01-14-16:35,173.22
801,2022-01-14-16:30,173.3
802,2022-01-14-16:25,173.22
803,2022-01-14-16:20,173.16
804,2022-01-14-16:15,173.22
805,2022-01-14-16:10,173.2
806,2022-01-14-16:05,173.22
807,2022-01-14-16:00,173.07
808,2022-01-14-15:55,173.05
809,2022-01-14-15:50,172.865
810,2022-01-14-15:45,173.0078
811,2022-01-14-15:40,172.9041
812,2022-01-14-15:35,173.096
813,2022-01-14-15:30,172.495
814,2022-01-14-15:25,172.78
815,2022-01-14-15:20,172.5493
